time,latitude,longitude,depth,mag,magType,locationSource
1974-12-31T22:40:47.800Z,19.29,-155.36,5,5.5,mb,h,
1974-12-31T21:56:10.000Z,14.196,-91.942,75,4.9,mb,us,
1974-12-31T20:21:09.000Z,14.126,-91.824,39,6.1,ms,us,
1974-12-31T20:15:32.700Z,14.15,-91.921,75,5.4,mb,us,
1974-12-31T07:27:43.200Z,-18.838,169.275,220,4.7,mb,us,
1974-12-31T05:15:43.200Z,-7.383,156.035,61,4.9,mb,us,
1974-12-31T04:37:31.200Z,52.531,-179.26,228,5.1,mb,us,
1974-12-31T02:29:58.000Z,-7.298,128.229,81,4.5,mb,us,
1974-12-30T23:57:03.200Z,39.528,143.178,51,4.6,mb,us,
1974-12-30T21:06:13.000Z,-55.299,-27.895,33,5.2,mb,us,
1974-12-30T20:33:23.100Z,17.533,-62.027,33,4.6,mb,us,
1974-12-30T16:24:47.800Z,36.709,71.003,40,4.9,mb,us,
1974-12-30T15:41:36.700Z,-11.118,166.383,98,4.6,mb,us,
1974-12-30T15:17:29.200Z,28.851,103.948,33,4.7,mb,us,
1974-12-30T13:12:47.870Z,29.9076667,-116.1288333,6,4.58,ml,ci,
1974-12-30T04:47:44.300Z,35.991,69.718,116,5.3,mb,us,
1974-12-30T03:33:16.600Z,61.982,-149.686,62,5.1,mb,us,
1974-12-29T18:25:00.700Z,61.597,-150.511,67,5.6,mb,us,
1974-12-29T17:20:47.200Z,-32.996,-69.994,99,5.5,mb,us,
1974-12-29T04:59:09.600Z,39.198,71.805,69,5,mb,us,
1974-12-29T04:10:00.700Z,-4.986,129.968,40,4.8,mb,us,
1974-12-29T03:50:06.100Z,64.507,-17.625,33,5.2,mb,us,
1974-12-28T23:49:51.000Z,14.974,-91.062,186,4.6,mb,us,
1974-12-28T23:18:38.800Z,30.86,-116.075,33,4.7,mb,us,
1974-12-28T22:38:50.900Z,35.205,72.955,33,5,mb,us,
1974-12-28T22:28:17.400Z,35.041,72.951,33,5,mb,us,
1974-12-28T12:46:08.500Z,35.128,72.923,33,5,mb,us,
1974-12-28T12:11:43.700Z,35.054,72.87,22,6.2,ms,us,
1974-12-28T08:15:52.900Z,-5.012,129.985,33,5,mb,us,
1974-12-28T06:44:59.500Z,22.407,120.846,45,4.6,mb,us,
1974-12-28T05:19:55.500Z,24.618,122.579,117,4.8,mb,us,
1974-12-28T01:36:14.600Z,19.551,145.362,270,4.5,mb,us,
1974-12-28T00:11:53.700Z,54.192,-162.772,44,4.6,mb,us,
1974-12-27T22:53:44.800Z,76.639,-106.195,33,4.8,mb,us,
1974-12-27T11:56:18.100Z,-29.396,-177.341,22,4.9,mb,us,
1974-12-27T11:28:57.800Z,-29.289,-177.45,61,5,mb,us,
1974-12-27T09:03:48.500Z,-4.459,-101.976,33,4.6,mb,us,
1974-12-27T05:46:56.800Z,49.96,79.046,0,5.6,mb,us,
1974-12-27T03:13:11.100Z,-4.778,144.929,92,4.6,mb,us,
1974-12-27T00:53:00.700Z,-16.409,-176.198,380,4.6,mb,us,
1974-12-26T22:15:56.900Z,-0.22,-91.325,33,4.8,mb,us,
1974-12-26T21:36:27.200Z,12.927,125.17,33,5.1,mb,us,
1974-12-26T18:36:21.900Z,29.495,52.732,33,4.8,mb,us,
1974-12-26T18:32:39.200Z,51.465,174.861,33,4.7,mb,us,
1974-12-26T17:50:16.300Z,16.495,-98.202,77,4.6,mb,us,
1974-12-26T08:38:02.700Z,-4.99,153.546,42,4.9,ms,us,
1974-12-25T23:57:23.000Z,3.649,124.335,363,5,mb,us,
1974-12-25T17:47:49.500Z,19.32,-155.283,28,4.5,mb,h,
1974-12-25T17:13:26.200Z,7.81,134.533,24,5.2,mb,us,
1974-12-25T16:16:18.000Z,12.886,144.088,116,4.8,mb,us,
1974-12-25T15:50:04.000Z,6.856,-73.072,162,4.5,mb,us,
1974-12-25T15:03:16.700Z,52.507,152.048,524,4.8,mb,us,
1974-12-25T12:33:09.600Z,-31.903,179.843,327,5.1,mb,us,
1974-12-25T07:54:46.000Z,51.731,174.486,37,5.1,mb,us,
1974-12-25T02:49:13.000Z,51.697,174.635,40,5.8,ms,us,
1974-12-25T02:17:14.400Z,-14.301,167.254,179,5,mb,us,
1974-12-24T23:41:44.800Z,-4.787,153.517,90,4.8,mb,us,
1974-12-24T19:55:29.800Z,36.4,70.388,206,4.6,mb,us,
1974-12-24T19:37:07.200Z,11.084,-62.658,103,4.9,mb,us,
